,Product,Query
637,Rantac 150 Tablet,Can I take alcohol with Rantac 150 Tablet?
652,Rantac 300 Tablet,Can I take alcohol with Rantac 300 Tablet?
667,Rantac Syrup Mint,Can I take alcohol with Rantac Syrup Mint?
683,Rantac-Dom Tablet,Can I drink alcohol with Rantac-Dom Tablet?
732,Rantac OD 300 Tablet CR,Can I take alcohol with Rantac OD 300 Tablet CR?
747,Rantac Infant Syrup Mint,Can I take alcohol with Rantac Infant Syrup Mint?
780,Rantac R Tablet, Can I take alcohol with Rantac R Tablet?
821,Rantac PP 20mg Tablet, Can I take alcohol with Rantac PP 20mg Tablet?
837,Maxx Rantac 150mg Tablet,Can I take alcohol with Maxx Rantac 150mg Tablet?
848,PAN 40 Tablet,What is PAN 40 Tablet used for?
850,PAN 40 Tablet,Is a single dose of PAN 40 Tablet sufficient?
857,PAN 40 Tablet,Can I take alcohol with PAN 40 Tablet?
858,PAN 40 Tablet,Can I take antacids along with PAN 40 Tablet?
878,Pantocid Tablet,Can I take alcohol with Pantocid Tablet?
890,Pantop 40 Tablet,What is Pantop 40 Tablet used for?
892,Pantop 40 Tablet,Is a single dose of Pantop 40 Tablet sufficient?
899,Pantop 40 Tablet,Can I take alcohol with Pantop 40 Tablet?
900,Pantop 40 Tablet,Can I take antacids along with Pantop 40 Tablet?
920,Pantosec Tablet,Can I take alcohol with Pantosec Tablet?
932,Pantodac 40 Tablet,What is Pantodac 40 Tablet used for?
934,Pantodac 40 Tablet,Is a single dose of Pantodac 40 Tablet sufficient?
941,Pantodac 40 Tablet,Can I take alcohol with Pantodac 40 Tablet?
942,Pantodac 40 Tablet,Can I take antacids along with Pantodac 40 Tablet?
946,Pantodac 40 Tablet,I have stomach pain. I mostly used pantodac 20. But today I use pantodac 40. Is any problem for me What is the difference between pantodac 20 and 40 Hello r u there
962,Pantakind Tablet,Can I take alcohol with Pantakind Tablet?
974,Topp 40 Tablet,What is Topp 40 Tablet used for?
976,Topp 40 Tablet,Is a single dose of Topp 40 Tablet sufficient?
983,Topp 40 Tablet,Can I take alcohol with Topp 40 Tablet?
984,Topp 40 Tablet,Can I take antacids along with Topp 40 Tablet?
1004,PAN 20 Tablet,Can I take alcohol with PAN 20 Tablet?
1076,Pantop Injection,Can I take alcohol with Pantop Injection?
1094,PAN IV Injection,Can I take alcohol with PAN IV Injection?
1131,Pantocid 20 Tablet,Can I take alcohol with Pantocid 20 Tablet?
1209,Pantodac DSR Capsule,I have stomach pain. I mostly used pantodac 20. But today I use pantodac 40. Is any problem for me What is the difference between pantodac 20 and 40 Hello r u there
1214,Cintodac  Capsule,Can I  drink alcohol with Cintodac  Capsule?
1233,PAN 80mg Tablet,Can I take alcohol with PAN 80mg Tablet?
1268,Nupenta Tablet,Can I take alcohol with Nupenta Tablet?
1303,Pantop 20 Tablet,Can I take alcohol with Pantop 20 Tablet?
1380,Pansec Tablet,Can I take alcohol with Pansec Tablet?
2043,Rantac 150 Tablet,Can I take alcohol with Rantac 150 Tablet?
2058,Rantac 300 Tablet,Can I take alcohol with Rantac 300 Tablet?
2073,Rantac Syrup Mint,Can I take alcohol with Rantac Syrup Mint?
2089,Rantac-Dom Tablet,Can I drink alcohol with Rantac-Dom Tablet?
2138,Rantac OD 300 Tablet CR,Can I take alcohol with Rantac OD 300 Tablet CR?
2153,Rantac Infant Syrup Mint,Can I take alcohol with Rantac Infant Syrup Mint?
2186,Rantac R Tablet, Can I take alcohol with Rantac R Tablet?
2227,Rantac PP 20mg Tablet, Can I take alcohol with Rantac PP 20mg Tablet?
2243,Maxx Rantac 150mg Tablet,Can I take alcohol with Maxx Rantac 150mg Tablet?
2254,PAN 40 Tablet,What is PAN 40 Tablet used for?
2256,PAN 40 Tablet,Is a single dose of PAN 40 Tablet sufficient?
2263,PAN 40 Tablet,Can I take alcohol with PAN 40 Tablet?
2264,PAN 40 Tablet,Can I take antacids along with PAN 40 Tablet?
2284,Pantocid Tablet,Can I take alcohol with Pantocid Tablet?
2296,Pantop 40 Tablet,What is Pantop 40 Tablet used for?
2298,Pantop 40 Tablet,Is a single dose of Pantop 40 Tablet sufficient?
2305,Pantop 40 Tablet,Can I take alcohol with Pantop 40 Tablet?
2306,Pantop 40 Tablet,Can I take antacids along with Pantop 40 Tablet?
2326,Pantosec Tablet,Can I take alcohol with Pantosec Tablet?
2338,Pantodac 40 Tablet,What is Pantodac 40 Tablet used for?
2340,Pantodac 40 Tablet,Is a single dose of Pantodac 40 Tablet sufficient?
2347,Pantodac 40 Tablet,Can I take alcohol with Pantodac 40 Tablet?
