,Product,Query
346,Zerodol-SP Tablet,Are there any specific contraindications associated with taking Zerodol-SP Tablet?
382,Zerodol-P Tablet,Are there any specific contraindications associated with the use of Zerodol-P Tablet?
446,Combiflam Tablet,Are there any specific contraindications associated with the use of Combiflam Tablet?
473,Flexon Tablet,Are there any specific contraindications associated with the use of Flexon Tablet?
489,Enzoflam Tablet,Are there any specific contraindications associated with the use of Enzoflam Tablet?
540,Brufen 400 Tablet,Are there any specific contraindications associated with the use of Brufen 400 Tablet?
558,Brufen 200 Tablet,Are there any specific contraindications associated with the use of Brufen 200 Tablet?
576,Brufen 600 Tablet,Are there any specific contraindications associated with the use of Brufen 600 Tablet?
594,Brufen Junior 100mg/5ml Suspension,Are there any specific contraindications associated with the use of Brufen Junior 100mg/5ml Suspension?
620,Brufen Softra 400mg Capsule,Are there any specific contraindications associated with the use of Brufen Softra 400mg Capsule?
1046,Pan-D Capsule PR, Are there any specific contraindications associated with the use of Pan-D Capsule PR?
1060,Pantocid DSR Capsule, Are there any specific contraindications associated with the use of Pantocid DSR Capsule?
1110,Pantop-D SR Capsule, Are there any specific contraindications associated with the use of Pantop-D SR Capsule?
1145,Pantop-D Capsule, Are there any specific contraindications associated with the use of Pantop-D Capsule?
1159,Pantosec D SR Capsule, Are there any specific contraindications associated with the use of Pantosec D SR Capsule?
1172,Pantocid L  Capsule SR,What are the contraindications associated with the use of Pantocid L  Capsule SR?
1185,Pantakind-DSR Capsule, Are there any specific contraindications associated with the use of Pantakind-DSR Capsule?
1199,Pantodac DSR Capsule, Are there any specific contraindications associated with the use of Pantodac DSR Capsule?
1247,Pantosec-D Tablet, Are there any specific contraindications associated with the use of Pantosec-D Tablet?
1282,Dompan Tablet, Are there any specific contraindications associated with the use of Dompan Tablet?
1317,Pantafol DSR 30mg/40mg Capsule PR, Are there any specific contraindications associated with the use of Pantafol DSR 30mg/40mg Capsule PR?
1394,Pantocid D Capsule, Are there any specific contraindications associated with the use of Pantocid D Capsule?
1752,Zerodol-SP Tablet,Are there any specific contraindications associated with taking Zerodol-SP Tablet?
1788,Zerodol-P Tablet,Are there any specific contraindications associated with the use of Zerodol-P Tablet?
1852,Combiflam Tablet,Are there any specific contraindications associated with the use of Combiflam Tablet?
1879,Flexon Tablet,Are there any specific contraindications associated with the use of Flexon Tablet?
1895,Enzoflam Tablet,Are there any specific contraindications associated with the use of Enzoflam Tablet?
1946,Brufen 400 Tablet,Are there any specific contraindications associated with the use of Brufen 400 Tablet?
1964,Brufen 200 Tablet,Are there any specific contraindications associated with the use of Brufen 200 Tablet?
1982,Brufen 600 Tablet,Are there any specific contraindications associated with the use of Brufen 600 Tablet?
2000,Brufen Junior 100mg/5ml Suspension,Are there any specific contraindications associated with the use of Brufen Junior 100mg/5ml Suspension?
2026,Brufen Softra 400mg Capsule,Are there any specific contraindications associated with the use of Brufen Softra 400mg Capsule?
2452,Pan-D Capsule PR, Are there any specific contraindications associated with the use of Pan-D Capsule PR?
2466,Pantocid DSR Capsule, Are there any specific contraindications associated with the use of Pantocid DSR Capsule?
2516,Pantop-D SR Capsule, Are there any specific contraindications associated with the use of Pantop-D SR Capsule?
2551,Pantop-D Capsule, Are there any specific contraindications associated with the use of Pantop-D Capsule?
2565,Pantosec D SR Capsule, Are there any specific contraindications associated with the use of Pantosec D SR Capsule?
2578,Pantocid L  Capsule SR,What are the contraindications associated with the use of Pantocid L  Capsule SR?
2591,Pantakind-DSR Capsule, Are there any specific contraindications associated with the use of Pantakind-DSR Capsule?
2605,Pantodac DSR Capsule, Are there any specific contraindications associated with the use of Pantodac DSR Capsule?
2653,Pantosec-D Tablet, Are there any specific contraindications associated with the use of Pantosec-D Tablet?
2688,Dompan Tablet, Are there any specific contraindications associated with the use of Dompan Tablet?
2723,Pantafol DSR 30mg/40mg Capsule PR, Are there any specific contraindications associated with the use of Pantafol DSR 30mg/40mg Capsule PR?
2800,Pantocid D Capsule, Are there any specific contraindications associated with the use of Pantocid D Capsule?
