,Product,Query
646,Rantac 150 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
660,Rantac 300 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
675,Rantac Syrup Mint,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
690,Rantac-Dom Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
713,Rantac RD 30mg/20mg Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
725,Rantac Injection 2ml,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
740,Rantac OD 300 Tablet CR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
755,Rantac Infant Syrup Mint,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
789,Rantac R Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
801,Rantac Injection 2ml,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
830,Rantac PP 20mg Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
844,Maxx Rantac 150mg Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
887,Pantocid Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
909,Pantop 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
928,Pantosec Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
950,Pantodac 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
970,Pantakind Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
991,Topp 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1028,Ganaton Total Capsule SR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1041,Pantocid IT Capsule SR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1069,Pantocid DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1088,Pantop Injection,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1140,Pantocid 20 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1167,Pantosec D SR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1193,Pantakind-DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1207,Pantodac DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1220,Cintodac  Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1255,Pantosec-D Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1276,Nupenta Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1290,Dompan Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1313,Pantop 20 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1325,Pantafol DSR 30mg/40mg Capsule PR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1347,Pantocid 80 Dual-Release Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1368,Pantocid 80 Dual-Release Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1388,Pansec Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
1403,Pantocid D Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2052,Rantac 150 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2066,Rantac 300 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2081,Rantac Syrup Mint,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2096,Rantac-Dom Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2119,Rantac RD 30mg/20mg Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2131,Rantac Injection 2ml,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2146,Rantac OD 300 Tablet CR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2161,Rantac Infant Syrup Mint,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2195,Rantac R Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2207,Rantac Injection 2ml,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2236,Rantac PP 20mg Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2250,Maxx Rantac 150mg Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2293,Pantocid Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2315,Pantop 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2334,Pantosec Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2356,Pantodac 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2376,Pantakind Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2397,Topp 40 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2434,Ganaton Total Capsule SR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2447,Pantocid IT Capsule SR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2475,Pantocid DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2494,Pantop Injection,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2546,Pantocid 20 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2573,Pantosec D SR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2599,Pantakind-DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2613,Pantodac DSR Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2626,Cintodac  Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2661,Pantosec-D Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2682,Nupenta Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2696,Dompan Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2719,Pantop 20 Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2731,Pantafol DSR 30mg/40mg Capsule PR,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2753,Pantocid 80 Dual-Release Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2774,Pantocid 80 Dual-Release Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2794,Pansec Tablet,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
2809,Pantocid D Capsule,Suffering from acid reflux disease due to which pain in throat and right side of lower abdomen
