,Product,Query
29,Crocin Advance Tablet,What's the best medicines for a viral fever in this age
679,Rantac-Dom Tablet,What is the best time to take Rantac-Dom Tablet?
706,Rantac RD 30mg/20mg Capsule, What is the best time to take Rantac RD 30mg/20mg Capsule?
773,Rantac R Tablet,What is the best time to take Rantac R Tablet?
814,Rantac PP 20mg Tablet,What is the best time to take Rantac PP 20mg Tablet?
854,PAN 40 Tablet,What is the best time to take PAN 40 Tablet?
863,PAN 40 Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
875,Pantocid Tablet,What is the best time to take Pantocid Tablet?
896,Pantop 40 Tablet,What is the best time to take Pantop 40 Tablet?
917,Pantosec Tablet,What is the best time to take Pantosec Tablet?
938,Pantodac 40 Tablet,What is the best time to take Pantodac 40 Tablet?
959,Pantakind Tablet,What is the best time to take Pantakind Tablet?
980,Topp 40 Tablet,What is the best time to take Topp 40 Tablet?
1001,PAN 20 Tablet,What is the best time to take PAN 20 Tablet?
1009,PAN 20 Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
1017,Ganaton Total Capsule SR,What is the best time to take Ganaton Total Capsule SR?
1031,Pantocid IT Capsule SR,What is the best time to take Pantocid IT Capsule SR?
1050,Pan-D Capsule PR,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
1101,PAN IV Injection,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
1128,Pantocid 20 Tablet,What is the best time to take Pantocid 20 Tablet?
1171,Pantocid L  Capsule SR,What is the best time to take Pantocid L  Capsule SR?
1211,Cintodac  Capsule,Which is the best time to take Cintodac  Capsule?
1230,PAN 80mg Tablet,What is the best time to take PAN 80mg Tablet?
1238,PAN 80mg Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
1265,Nupenta Tablet,What is the best time to take Nupenta Tablet?
1300,Pantop 20 Tablet,What is the best time to take Pantop 20 Tablet?
1335,Pantocid 80 Dual-Release Tablet,What is the best time to take Pantocid 80 Dual-Release Tablet?
1356,Pantocid 80 Dual-Release Tablet,What is the best time to take Pantocid 80 Dual-Release Tablet?
1377,Pansec Tablet,What is the best time to take Pansec Tablet?
1435,Crocin Advance Tablet,What's the best medicines for a viral fever in this age
2085,Rantac-Dom Tablet,What is the best time to take Rantac-Dom Tablet?
2112,Rantac RD 30mg/20mg Capsule, What is the best time to take Rantac RD 30mg/20mg Capsule?
2179,Rantac R Tablet,What is the best time to take Rantac R Tablet?
2220,Rantac PP 20mg Tablet,What is the best time to take Rantac PP 20mg Tablet?
2260,PAN 40 Tablet,What is the best time to take PAN 40 Tablet?
2269,PAN 40 Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
2281,Pantocid Tablet,What is the best time to take Pantocid Tablet?
2302,Pantop 40 Tablet,What is the best time to take Pantop 40 Tablet?
2323,Pantosec Tablet,What is the best time to take Pantosec Tablet?
2344,Pantodac 40 Tablet,What is the best time to take Pantodac 40 Tablet?
2365,Pantakind Tablet,What is the best time to take Pantakind Tablet?
2386,Topp 40 Tablet,What is the best time to take Topp 40 Tablet?
2407,PAN 20 Tablet,What is the best time to take PAN 20 Tablet?
2415,PAN 20 Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
2423,Ganaton Total Capsule SR,What is the best time to take Ganaton Total Capsule SR?
2437,Pantocid IT Capsule SR,What is the best time to take Pantocid IT Capsule SR?
2456,Pan-D Capsule PR,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
2507,PAN IV Injection,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
2534,Pantocid 20 Tablet,What is the best time to take Pantocid 20 Tablet?
2577,Pantocid L  Capsule SR,What is the best time to take Pantocid L  Capsule SR?
2617,Cintodac  Capsule,Which is the best time to take Cintodac  Capsule?
2636,PAN 80mg Tablet,What is the best time to take PAN 80mg Tablet?
2644,PAN 80mg Tablet,As soon as I go to sleep I start coughing and it stops after i drink water. it feels like as if something has stuck in the throat. it is happening for the past few days. Same happen if i do not drink water for some time. Please help me with the solution.
2671,Nupenta Tablet,What is the best time to take Nupenta Tablet?
2706,Pantop 20 Tablet,What is the best time to take Pantop 20 Tablet?
2741,Pantocid 80 Dual-Release Tablet,What is the best time to take Pantocid 80 Dual-Release Tablet?
2762,Pantocid 80 Dual-Release Tablet,What is the best time to take Pantocid 80 Dual-Release Tablet?
2783,Pansec Tablet,What is the best time to take Pansec Tablet?
