,Product,Query
163,Pyrigesic 1000 Tablet,"Vomitings, nausea, dizziness,fever"
301,Pyrigesic 650 Tablet,"Vomitings, nausea, dizziness,fever"
344,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause nausea and vomiting?
345,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause dizziness?
348,Zerodol-SP Tablet,Can the use of Zerodol-SP Tablet cause damage to kidneys?
380,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause nausea and vomiting?
381,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause dizziness?
385,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause damage to kidneys?
415,Sinarest New Tablet,Can the use of Sinarest New Tablet cause dizziness?
416,Sinarest New Tablet,Can the use of Sinarest New Tablet cause damage to liver?
444,Combiflam Tablet,Can the use of Combiflam Tablet cause nausea and vomiting?
445,Combiflam Tablet,Can the use of Combiflam Tablet cause dizziness?
448,Combiflam Tablet,Can the use of Combiflam Tablet cause damage to kidneys?
459,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause dizziness?
460,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause nausea and vomiting?
471,Flexon Tablet,Can the use of Flexon Tablet cause nausea and vomiting?
472,Flexon Tablet,Can the use of Flexon Tablet cause dizziness?
475,Flexon Tablet,Can the use of Flexon Tablet cause damage to kidneys?
487,Enzoflam Tablet,Can the use of Enzoflam Tablet cause nausea and vomiting?
488,Enzoflam Tablet,Can the use of Enzoflam Tablet cause dizziness?
492,Enzoflam Tablet,Can the use of Enzoflam Tablet cause damage to kidneys?
512,Pyrigesic Tablet,"Vomitings, nausea, dizziness,fever"
539,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause nausea and vomiting?
542,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause damage to kidneys?
544,Brufen 400 Tablet,Can Brufen 400 Tablet cause dizziness?
549,Brufen 400 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
557,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause nausea and vomiting?
560,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause damage to kidneys?
562,Brufen 200 Tablet,Can Brufen 200 Tablet cause dizziness?
567,Brufen 200 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
