,Product,Query
645,Rantac 150 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
659,Rantac 300 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
674,Rantac Syrup Mint,"acid reflux, gastric, sugar stimulate acid reflux."
689,Rantac-Dom Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
712,Rantac RD 30mg/20mg Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
724,Rantac Injection 2ml,"acid reflux, gastric, sugar stimulate acid reflux."
739,Rantac OD 300 Tablet CR,"acid reflux, gastric, sugar stimulate acid reflux."
754,Rantac Infant Syrup Mint,"acid reflux, gastric, sugar stimulate acid reflux."
788,Rantac R Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
800,Rantac Injection 2ml,"acid reflux, gastric, sugar stimulate acid reflux."
829,Rantac PP 20mg Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
843,Maxx Rantac 150mg Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
847,Maxx Rantac 150mg Tablet,Acid Reflux treatment and cause?
886,Pantocid Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
908,Pantop 40 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
927,Pantosec Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
931,Pantosec Tablet,Acid Reflux treatment and cause?
949,Pantodac 40 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
969,Pantakind Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
973,Pantakind Tablet,Acid Reflux treatment and cause?
990,Topp 40 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
994,Topp 40 Tablet,Acid Reflux treatment and cause?
1014,PAN 20 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
1027,Ganaton Total Capsule SR,"acid reflux, gastric, sugar stimulate acid reflux."
1040,Pantocid IT Capsule SR,"acid reflux, gastric, sugar stimulate acid reflux."
1051,Pan-D Capsule PR,"acid reflux, gastric, sugar stimulate acid reflux."
1068,Pantocid DSR Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1087,Pantop Injection,"acid reflux, gastric, sugar stimulate acid reflux."
1106,PAN IV Injection,"acid reflux, gastric, sugar stimulate acid reflux."
1114,Pantop-D SR Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1139,Pantocid 20 Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
1149,Pantop-D Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1166,Pantosec D SR Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1170,Pantosec D SR Capsule,Acid Reflux treatment and cause?
1176,Pantocid L  Capsule SR,"acid reflux, gastric, sugar stimulate acid reflux."
1178,Pantocid L  Capsule SR,Acid Reflux treatment and cause?
1181,Pantocid L  Capsule SR,suffering from acid reflux and
1189,Pantakind-DSR Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1206,Pantodac DSR Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1219,Cintodac  Capsule,"acid reflux, gastric, sugar stimulate acid reflux."
1223,Cintodac  Capsule,Acid Reflux treatment and cause?
1243,PAN 80mg Tablet,"acid reflux, gastric, sugar stimulate acid reflux."
