,Product,Query
641,Rantac 150 Tablet,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
655,Rantac 300 Tablet,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
670,Rantac Syrup Mint,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
684,Rantac-Dom Tablet,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
708,Rantac RD 30mg/20mg Capsule,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
720,Rantac Injection 2ml,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
735,Rantac OD 300 Tablet CR,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
750,Rantac Infant Syrup Mint,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
784,Rantac R Tablet,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
796,Rantac Injection 2ml,Heartburn Mental disorder Depression Frequent persistent heartburn Gastroesophageal reflux disease Irritable bowel syndrome Indigestion Back flow of acid from stomach Difficulty in swallowing Inflammation of esophagus Excess acid secretion by stomach Intestinal or stomach ulcers
