,Product,Query
9,Dolo 650 Tablet,Pain in teeth age 15 male pain relief tablet
10,Dolo 650 Tablet,Back pain after fever kindly suggest how to recover
11,Dolo 650 Tablet,Joint pain with fever Rania Joint pain with fever for two days
12,Dolo 650 Tablet,Fever for 3 days Taken dolo 650 but still fever persists
13,Dolo 650 Tablet,What medicine to take for headache fever and body pain
14,Dolo 650 Tablet,"Sir I suffered from headache, eye pain,joint pain, cough , little fever from yesterday . Please suggest me tablet for cure."
15,Dolo 650 Tablet,Having pain in body since four days.getting PCM so No fever only pain Doctor prescribed some medicine but pain still remains
26,Crocin Advance Tablet,fever and 2 months pregnant can take combiflan
27,Crocin Advance Tablet,"Mild fever,body aches,and less hunger,pain in leg and arms ,please suggest medicin"
28,Crocin Advance Tablet,"Dear doctor my wife is 4 month pregnant since afternoon she is suffering from head ache , can you please suggest me what should be done"
31,Crocin Advance Tablet,"What are some vomiting, headache,stomach pain, gas, fever tablets"
32,Crocin Advance Tablet,Little headache and blocked nose. No fever.
42,Calpol 650mg Tablet,I am suffring from fever. So i have advice
43,Calpol 650mg Tablet,Fever from one day calpol given but not relief
44,Calpol 650mg Tablet,Cold sneezing stomachache fever  have suggested calpol colimex and otrivin nasal drops
45,Calpol 650mg Tablet,Severe headache and fever and cold
46,Calpol 650mg Tablet,Having a slight fever. Feeling a little uncomfortable. Feeling under the weather.
47,Calpol 650mg Tablet,Fever in morning and evening daily
48,Calpol 650mg Tablet,Fever pain head ache pain illness
59,Calpol 500mg Tablet,Fever from one day calpol given but not relief
60,Calpol 500mg Tablet,Cold sneezing stomachache fever  have suggested calpol colimex and otrivin nasal drops
61,Calpol 500mg Tablet,Having a slight fever. Feeling a little uncomfortable. Feeling under the weather.
62,Calpol 500mg Tablet,Fever pain head ache pain illness
64,Calpol 500mg Tablet,I am feeling weakness and have fever and also pain in my stomach
65,Calpol 500mg Tablet,"She has cough ,fever & lack of appetite,she vomited once too what should she to get quick relief?"
66,Calpol 500mg Tablet,Fever cold headache body pain.
76,Calpol 250mg Paediatric Oral Suspension Strawberry,Whether calpol 250mg can be given with zipod 100 for fever
78,Calpol 250mg Paediatric Oral Suspension Strawberry,Fever from one day calpol given but not relief
79,Calpol 250mg Paediatric Oral Suspension Strawberry,Cold sneezing stomachache fever  have suggested calpol colimex and otrivin nasal drops
80,Calpol 250mg Paediatric Oral Suspension Strawberry,Having a slight fever. Feeling a little uncomfortable. Feeling under the weather.
82,Calpol 250mg Paediatric Oral Suspension Strawberry,Fever pain head ache pain illness
93,Dolo 500 Tablet,"Head ache,trought pain,last week i had fever.no fever now."
94,Dolo 500 Tablet,im suffering from fever what should i do now
95,Dolo 500 Tablet,Hello  m having high fever with cold and extreme body pain unable to go to clinic as m alone please help me ?
96,Dolo 500 Tablet,I have body aches without fever
97,Dolo 500 Tablet,"High fever, chills, joint pain"
98,Dolo 500 Tablet,Fever and body pain last 2 day
99,Dolo 500 Tablet,"I have fever,head ache and body pain"
100,Dolo 500 Tablet,Cold and headche pain and fever
112,Lanol ER Tablet,"Facing problem of cough, fever, body pain since 3 days, taken tablets Lanol ER, Relent Tab & Azithral 500, feel better on second day, but having same problem on 4th day. Dr. has advised to go for Dengue test, is it really required at this stage or shall I change medicines ( i.e Lariago 250 & Sumo ( Nimo +para ) for one more day. please advise."
113,Lanol ER Tablet,fever and 2 months pregnant can take combiflan
114,Lanol ER Tablet,Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.
116,Lanol ER Tablet,I am suffering from chikungunya since last 2 days I m experiencing high fever and too much pain in my body Plzz suggest me about HOW TO NEUTRALIZE THE PAIN IN THE BODY
117,Lanol ER Tablet,Throat pen & normal body aches and cold no fever.
127,Paracip 500 Tablet,He has high fever can i give him paracip 500
128,Paracip 500 Tablet,Dose of paracip drops as suffering from high fever Age of patient is 17months
129,Paracip 500 Tablet,"Severe headche,bodyche followed by fever Severe headche,bodyache since yesterday noon followed by fever Given paracip 500mg 2 times till now in 6hrs internal"
130,Paracip 500 Tablet,She 101 degree fever from s2day we consult with doctor in our area .He prescibed paracip and novamox syrup . For last two days my daugter didnt go for motion all . We feel that if she goes motion fever will reduce
131,Paracip 500 Tablet,fever and 2 months pregnant can take combiflan
132,Paracip 500 Tablet,Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.
133,Paracip 500 Tablet,I am suffering from chikungunya since last 2 days I m experiencing high fever and too much pain in my body Plzz suggest me about HOW TO NEUTRALIZE THE PAIN IN THE BODY
134,Paracip 500 Tablet,Throat pen & normal body aches and cold no fever.
144,P 650 Tablet,"I have two days fever, I take sinarest and cefran 500 mg tablet , but not relief please sussed me."
148,P 650 Tablet,Fever joint pain and drowsiness
149,P 650 Tablet,"Cold, Fever and heavy body pain"
150,P 650 Tablet,Fever with cold and body pain.
151,P 650 Tablet,Fever from last 2 days headache cough body pain
161,Pyrigesic 1000 Tablet,I am having fever and cold since last two days
162,Pyrigesic 1000 Tablet,Suffring from fever with
164,Pyrigesic 1000 Tablet,can i will take mahacef 200 with febrex plus for cold and flu and body pain fever
165,Pyrigesic 1000 Tablet,fever and 2 months pregnant can take combiflan
166,Pyrigesic 1000 Tablet,Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.
168,Pyrigesic 1000 Tablet,I am suffering from chikungunya since last 2 days I m experiencing high fever and too much pain in my body Plzz suggest me about HOW TO NEUTRALIZE THE PAIN IN THE BODY
178,Dolopar 650 Tablet,Suffering from high fever. No impact of dolopar 250 (5mg). Blocked nose
179,Dolopar 650 Tablet,Having high fever 102 and body che since a day. No other problem. Took 3 dolopar 500 mg since last 24 hrs but not much chnge
181,Dolopar 650 Tablet,Suffering from fever since last 5 days not eating anything doctor saying viral fever given medicine dolopar 250mg only advise me.
182,Dolopar 650 Tablet,fever and 2 months pregnant can take combiflan
183,Dolopar 650 Tablet,Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.
184,Dolopar 650 Tablet,I am 26 weeks pregnant and now very often i started feeling headache in last 20 days i have taken dolopar 650 mg thrice. Please confirm is it safe to take this tab as i have taken it as per my midwife consultation and suggest what can be the reason of this headache.
185,Dolopar 650 Tablet,I am suffering from chikungunya since last 2 days I m experiencing high fever and too much pain in my body Plzz suggest me about HOW TO NEUTRALIZE THE PAIN IN THE BODY
195,Dolo 250 Oral Suspension,im suffering from fever what should i do now
196,Dolo 250 Oral Suspension,Hello  m having high fever with cold and extreme body pain unable to go to clinic as m alone please help me ?
197,Dolo 250 Oral Suspension,Cold and headche pain and fever
199,Dolo 250 Oral Suspension,"My mother is having headaches, fever, body pain Please suggest some good medicines"
200,Dolo 250 Oral Suspension,i am feeling fever and had pain so please advise me
201,Dolo 250 Oral Suspension,Pain in teeth age 15 male pain relief tablet
202,Dolo 250 Oral Suspension,"Suffering from body pains,head block and fever, since two days. Today morning took Dolo 650g, feeling better now. Please suggest prescription."
212,Paracip 650 Tablet,He has high fever can i give him paracip 500
213,Paracip 650 Tablet,Dose of paracip drops as suffering from high fever Age of patient is 17months
214,Paracip 650 Tablet,"Severe headche,bodyche followed by fever Severe headche,bodyache since yesterday noon followed by fever Given paracip 500mg 2 times till now in 6hrs internal"
215,Paracip 650 Tablet,She 101 degree fever from s2day we consult with doctor in our area .He prescibed paracip and novamox syrup . For last two days my daugter didnt go for motion all . We feel that if she goes motion fever will reduce
216,Paracip 650 Tablet,fever and 2 months pregnant can take combiflan
217,Paracip 650 Tablet,Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.
218,Paracip 650 Tablet,I am suffering from chikungunya since last 2 days I m experiencing high fever and too much pain in my body Plzz suggest me about HOW TO NEUTRALIZE THE PAIN IN THE BODY
219,Paracip 650 Tablet,Throat pen & normal body aches and cold no fever.
233,T-98 Paediatric Drops,My baby has suffering from fever I will give it paracetamol T 98 125 mg thrice a day 8 ml but fever is gone when give the syrup after 3 or 4hrs again fever comes it happens past two days.
235,T-98 Paediatric Drops,feeling pain in lower leg so problem in walking. some pain in head also. feeling low and 98 fever also. kindly suggest
236,T-98 Paediatric Drops,T/m for fever with chills Breathing problem Abdominal pain
247,Sumo L 650 Tablet,Fever headache. droseness. taken Sumo cold and calpol 650
248,Sumo L 650 Tablet,I have caught the chill after exposure to very cold weather. Severing and fever with mild headaches. I am breastfeeding my 5 month baby. Which medicines should i take?
249,Sumo L 650 Tablet,Having high fever and cough and cold
250,Sumo L 650 Tablet,I AM HAVING COLD AND I HAVE FOLLOWING SYMPTOMS: Runny or stuffy nose Sore throat Cough Congestion Sneezing Generally feeling unwell PLS CONSULT ME A MEDICINE SO THAT I CAN RECOVER ASAP & ALSO PROVIDE ME A SYRUP
253,Sumo L 650 Tablet,"My child is having mild fever since yesterday night, no cough, no cold. I have given Sumo L plus. should I start antibiotics?"
265,Calpol Paediatric Drops Peppermint,Cold sneezing stomachache fever  have suggested calpol colimex and otrivin nasal drops
266,Calpol Paediatric Drops Peppermint,Fever from one day calpol given but not relief
267,Calpol Paediatric Drops Peppermint,Having a slight fever. Feeling a little uncomfortable. Feeling under the weather.
268,Calpol Paediatric Drops Peppermint,Cold sneezing stomachache fever  have suggested calpol colimex and otrivin nasal drops
269,Calpol Paediatric Drops Peppermint,Fever pain head ache pain illness
271,Calpol Paediatric Drops Peppermint,I am feeling weakness and have fever and also pain in my stomach
272,Calpol Paediatric Drops Peppermint,"She has cough ,fever & lack of appetite,she vomited once too what should she to get quick relief?"
282,Pacimol 650 Tablet,"Body pain , after an accident today."
283,Pacimol 650 Tablet,"Sudden fever came, soon after entering into mall from direct sunlight. Now having excess fever and body and joints pain. Please suggest"
