,Product,Query
0,Dolo 650 Tablet,What if I vomit after taking Dolo 650 Tablet?
2,Dolo 650 Tablet,How often can I take the Dolo 650 Tablet?
3,Dolo 650 Tablet,Does Dolo 650 Tablet make babies sleepy?
5,Dolo 650 Tablet,Is Dolo 650 Tablet an antibiotic?
6,Dolo 650 Tablet,Can I take Dolo 650 Tablet and ibuprofen together?
8,Dolo 650 Tablet,What are the serious side effects of taking an excess of the Dolo 650 Tablet?
135,P 650 Tablet,What if I vomit after taking P 650 Tablet?
137,P 650 Tablet,How often can I take the P 650 Tablet?
138,P 650 Tablet,Does P 650 Tablet make babies sleepy?
140,P 650 Tablet,Is P 650 Tablet an antibiotic?
141,P 650 Tablet,Can I take P 650 Tablet and ibuprofen together?
143,P 650 Tablet,What are the serious side effects of taking an excess of the P 650 Tablet?
169,Dolopar 650 Tablet,What if I vomit after taking Dolopar 650 Tablet?
171,Dolopar 650 Tablet,How often can I take the Dolopar 650 Tablet?
172,Dolopar 650 Tablet,Does Dolopar 650 Tablet make babies sleepy?
174,Dolopar 650 Tablet,Is Dolopar 650 Tablet an antibiotic?
175,Dolopar 650 Tablet,Can I take Dolopar 650 Tablet and ibuprofen together?
177,Dolopar 650 Tablet,What are the serious side effects of taking an excess of the Dolopar 650 Tablet?
203,Paracip 650 Tablet,What if I vomit after taking Paracip 650 Tablet?
205,Paracip 650 Tablet,How often can I take the Paracip 650 Tablet?
206,Paracip 650 Tablet,Does Paracip 650 Tablet make babies sleepy?
208,Paracip 650 Tablet,Is Paracip 650 Tablet an antibiotic?
209,Paracip 650 Tablet,Can I take Paracip 650 Tablet and ibuprofen together?
211,Paracip 650 Tablet,What are the serious side effects of taking an excess of the Paracip 650 Tablet?
238,Sumo L 650 Tablet,What if I vomit after taking Sumo L 650 Tablet?
240,Sumo L 650 Tablet,How often can I take the Sumo L 650 Tablet?
241,Sumo L 650 Tablet,Does Sumo L 650 Tablet make babies sleepy?
243,Sumo L 650 Tablet,Is Sumo L 650 Tablet an antibiotic?
244,Sumo L 650 Tablet,Can I take Sumo L 650 Tablet and ibuprofen together?
246,Sumo L 650 Tablet,What are the serious side effects of taking an excess of the Sumo L 650 Tablet?
273,Pacimol 650 Tablet,What if I vomit after taking Pacimol 650 Tablet?
275,Pacimol 650 Tablet,How often can I take the Pacimol 650 Tablet?
276,Pacimol 650 Tablet,Does Pacimol 650 Tablet make babies sleepy?
278,Pacimol 650 Tablet,Is Pacimol 650 Tablet an antibiotic?
279,Pacimol 650 Tablet,Can I take Pacimol 650 Tablet and ibuprofen together?
281,Pacimol 650 Tablet,What are the serious side effects of taking an excess of the Pacimol 650 Tablet?
290,Pyrigesic 650 Tablet,What if I vomit after taking Pyrigesic 650 Tablet?
292,Pyrigesic 650 Tablet,How often can I take the Pyrigesic 650 Tablet?
293,Pyrigesic 650 Tablet,Does Pyrigesic 650 Tablet make babies sleepy?
295,Pyrigesic 650 Tablet,Is Pyrigesic 650 Tablet an antibiotic?
296,Pyrigesic 650 Tablet,Can I take Pyrigesic 650 Tablet and ibuprofen together?
298,Pyrigesic 650 Tablet,What are the serious side effects of taking an excess of the Pyrigesic 650 Tablet?
1406,Dolo 650 Tablet,What if I vomit after taking Dolo 650 Tablet?
1408,Dolo 650 Tablet,How often can I take the Dolo 650 Tablet?
1409,Dolo 650 Tablet,Does Dolo 650 Tablet make babies sleepy?
1411,Dolo 650 Tablet,Is Dolo 650 Tablet an antibiotic?
1412,Dolo 650 Tablet,Can I take Dolo 650 Tablet and ibuprofen together?
1414,Dolo 650 Tablet,What are the serious side effects of taking an excess of the Dolo 650 Tablet?
1541,P 650 Tablet,What if I vomit after taking P 650 Tablet?
1543,P 650 Tablet,How often can I take the P 650 Tablet?
1544,P 650 Tablet,Does P 650 Tablet make babies sleepy?
1546,P 650 Tablet,Is P 650 Tablet an antibiotic?
1547,P 650 Tablet,Can I take P 650 Tablet and ibuprofen together?
1549,P 650 Tablet,What are the serious side effects of taking an excess of the P 650 Tablet?
1575,Dolopar 650 Tablet,What if I vomit after taking Dolopar 650 Tablet?
1577,Dolopar 650 Tablet,How often can I take the Dolopar 650 Tablet?
1578,Dolopar 650 Tablet,Does Dolopar 650 Tablet make babies sleepy?
1580,Dolopar 650 Tablet,Is Dolopar 650 Tablet an antibiotic?
1581,Dolopar 650 Tablet,Can I take Dolopar 650 Tablet and ibuprofen together?
1583,Dolopar 650 Tablet,What are the serious side effects of taking an excess of the Dolopar 650 Tablet?
