,Product,Query
642,Rantac 150 Tablet,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
643,Rantac 150 Tablet,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
656,Rantac 300 Tablet,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
657,Rantac 300 Tablet,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
671,Rantac Syrup Mint,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
672,Rantac Syrup Mint,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
685,Rantac-Dom Tablet,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
686,Rantac-Dom Tablet,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
709,Rantac RD 30mg/20mg Capsule,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
710,Rantac RD 30mg/20mg Capsule,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
721,Rantac Injection 2ml,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
722,Rantac Injection 2ml,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
736,Rantac OD 300 Tablet CR,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
737,Rantac OD 300 Tablet CR,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
751,Rantac Infant Syrup Mint,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
752,Rantac Infant Syrup Mint,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
785,Rantac R Tablet,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
786,Rantac R Tablet,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
797,Rantac Injection 2ml,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
798,Rantac Injection 2ml,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
826,Rantac PP 20mg Tablet,"Having thorat infection last 20 days, consultant done with local Dr, but still having sore throat RANTAC giving temporary solution"
827,Rantac PP 20mg Tablet,Having problem of acid reflux disease with throat infection and pain in right side of abdomen
