,Product,Query
615,Brufen Softra 400mg Capsule,Is it safe to use Brufen Softra 400mg Capsule?
700,Rantac RD 30mg/20mg Capsule,What is Rantac RD 30mg/20mg Capsule?
701,Rantac RD 30mg/20mg Capsule,What are the contraindications of Rantac RD 30mg/20mg Capsule?
703,Rantac RD 30mg/20mg Capsule,Can the use of Rantac RD 30mg/20mg Capsule cause diarrhea?
704,Rantac RD 30mg/20mg Capsule,What is the recommended storage condition for Rantac RD 30mg/20mg Capsule?
705,Rantac RD 30mg/20mg Capsule,Is it safe to use Rantac RD 30mg/20mg Capsule?
707,Rantac RD 30mg/20mg Capsule,Can the use of Rantac RD 30mg/20mg Capsule cause abnormal heartbeat?
1016,Ganaton Total Capsule SR,What are the instructions for storage and disposal of Ganaton Total Capsule SR?
1018,Ganaton Total Capsule SR,What are the serious side effects I can have if I overdose on Ganaton Total Capsule SR?
1020,Ganaton Total Capsule SR,Can I take Ganaton Total Capsule SR if I am pregnant?
1021,Ganaton Total Capsule SR,Can I  drink alcohol with Ganaton Total Capsule SR?
1030,Pantocid IT Capsule SR,What are the instructions for storage and disposal of Pantocid IT Capsule SR?
1032,Pantocid IT Capsule SR,What are the serious side effects I can have if I overdose on Pantocid IT Capsule SR?
1034,Pantocid IT Capsule SR,Can I take Pantocid IT Capsule SR if I am pregnant?
1035,Pantocid IT Capsule SR,Can I  drink alcohol with Pantocid IT Capsule SR?
1044,Pan-D Capsule PR,What is Pan-D Capsule PR?
1045,Pan-D Capsule PR,Is it safe to use Pan-D Capsule PR?
1048,Pan-D Capsule PR,Can the use of Pan-D Capsule PR cause diarrhea?
1049,Pan-D Capsule PR,What are the instructions for storage and disposal of Pan-D Capsule PR?
1058,Pantocid DSR Capsule,What is Pantocid DSR Capsule?
1059,Pantocid DSR Capsule,Is it safe to use Pantocid DSR Capsule?
1062,Pantocid DSR Capsule,Can the use of Pantocid DSR Capsule cause diarrhea?
1063,Pantocid DSR Capsule,What are the instructions for storage and disposal of Pantocid DSR Capsule?
1108,Pantop-D SR Capsule,What is Pantop-D SR Capsule?
1109,Pantop-D SR Capsule,Is it safe to use Pantop-D SR Capsule?
1112,Pantop-D SR Capsule,Can the use of Pantop-D SR Capsule cause diarrhea?
1113,Pantop-D SR Capsule,What are the instructions for storage and disposal of Pantop-D SR Capsule?
1143,Pantop-D Capsule,What is Pantop-D Capsule?
1144,Pantop-D Capsule,Is it safe to use Pantop-D Capsule?
1147,Pantop-D Capsule,Can the use of Pantop-D Capsule cause diarrhea?
1148,Pantop-D Capsule,What are the instructions for storage and disposal of Pantop-D Capsule?
1157,Pantosec D SR Capsule,What is Pantosec D SR Capsule?
1158,Pantosec D SR Capsule,Is it safe to use Pantosec D SR Capsule?
1161,Pantosec D SR Capsule,Can the use of Pantosec D SR Capsule cause diarrhea?
1162,Pantosec D SR Capsule,What are the instructions for storage and disposal of Pantosec D SR Capsule?
1173,Pantocid L  Capsule SR,Can the use of Pantocid L  Capsule SR cause dizziness?
1174,Pantocid L  Capsule SR,Does the use of Pantocid L  Capsule SR lead to increased risk of fractures?
1183,Pantakind-DSR Capsule,What is Pantakind-DSR Capsule?
1184,Pantakind-DSR Capsule,Is it safe to use Pantakind-DSR Capsule?
1187,Pantakind-DSR Capsule,Can the use of Pantakind-DSR Capsule cause diarrhea?
1188,Pantakind-DSR Capsule,What are the instructions for storage and disposal of Pantakind-DSR Capsule?
1197,Pantodac DSR Capsule,What is Pantodac DSR Capsule?
1198,Pantodac DSR Capsule,Is it safe to use Pantodac DSR Capsule?
1201,Pantodac DSR Capsule,Can the use of Pantodac DSR Capsule cause diarrhea?
1202,Pantodac DSR Capsule,What are the instructions for storage and disposal of Pantodac DSR Capsule?
1213,Cintodac  Capsule,Can I take Cintodac  Capsule if I am pregnant?
1215,Cintodac  Capsule,What are the instructions for the storage and disposal of Cintodac  Capsule?
1315,Pantafol DSR 30mg/40mg Capsule PR,What is Pantafol DSR 30mg/40mg Capsule PR?
1316,Pantafol DSR 30mg/40mg Capsule PR,Is it safe to use Pantafol DSR 30mg/40mg Capsule PR?
1319,Pantafol DSR 30mg/40mg Capsule PR,Can the use of Pantafol DSR 30mg/40mg Capsule PR cause diarrhea?
