,Product,Query
4,Dolo 650 Tablet,Is Dolo 650 Tablet safe for children?
21,Crocin Advance Tablet,Is Crocin Advance Tablet safe for children?
37,Calpol 650mg Tablet,Is Calpol 650mg Tablet safe for children?
54,Calpol 500mg Tablet,Is Calpol 500mg Tablet safe for children?
88,Dolo 500 Tablet,Is Dolo 500 Tablet safe for children?
105,Lanol ER Tablet,Is Lanol ER Tablet safe for children?
122,Paracip 500 Tablet,Is Paracip 500 Tablet safe for children?
139,P 650 Tablet,Is P 650 Tablet safe for children?
152,Pyrigesic 1000 Tablet,What if I vomit after taking Pyrigesic 1000 Tablet?
154,Pyrigesic 1000 Tablet,How often can I take the Pyrigesic 1000 Tablet?
156,Pyrigesic 1000 Tablet,Is Pyrigesic 1000 Tablet safe for children?
157,Pyrigesic 1000 Tablet,Is Pyrigesic 1000 Tablet an antibiotic?
158,Pyrigesic 1000 Tablet,Can I take Pyrigesic 1000 Tablet and ibuprofen together?
160,Pyrigesic 1000 Tablet,What are the serious side effects of taking an excess of the Pyrigesic 1000 Tablet?
173,Dolopar 650 Tablet,Is Dolopar 650 Tablet safe for children?
207,Paracip 650 Tablet,Is Paracip 650 Tablet safe for children?
242,Sumo L 650 Tablet,Is Sumo L 650 Tablet safe for children?
277,Pacimol 650 Tablet,Is Pacimol 650 Tablet safe for children?
294,Pyrigesic 650 Tablet,Is Pyrigesic 650 Tablet safe for children?
401,Fevastin Injection,Is Fevastin Injection safe for children?
501,Pyrigesic Tablet,What if I vomit after taking Pyrigesic Tablet?
503,Pyrigesic Tablet,How often can I take the Pyrigesic Tablet?
505,Pyrigesic Tablet,Is Pyrigesic Tablet safe for children?
506,Pyrigesic Tablet,Is Pyrigesic Tablet an antibiotic?
507,Pyrigesic Tablet,Can I take Pyrigesic Tablet and ibuprofen together?
509,Pyrigesic Tablet,What are the serious side effects of taking an excess of the Pyrigesic Tablet?
522,P 500 Tablet,Is P 500 Tablet safe for children?
1410,Dolo 650 Tablet,Is Dolo 650 Tablet safe for children?
1427,Crocin Advance Tablet,Is Crocin Advance Tablet safe for children?
1443,Calpol 650mg Tablet,Is Calpol 650mg Tablet safe for children?
1460,Calpol 500mg Tablet,Is Calpol 500mg Tablet safe for children?
1494,Dolo 500 Tablet,Is Dolo 500 Tablet safe for children?
1511,Lanol ER Tablet,Is Lanol ER Tablet safe for children?
1528,Paracip 500 Tablet,Is Paracip 500 Tablet safe for children?
1545,P 650 Tablet,Is P 650 Tablet safe for children?
1558,Pyrigesic 1000 Tablet,What if I vomit after taking Pyrigesic 1000 Tablet?
1560,Pyrigesic 1000 Tablet,How often can I take the Pyrigesic 1000 Tablet?
1562,Pyrigesic 1000 Tablet,Is Pyrigesic 1000 Tablet safe for children?
1563,Pyrigesic 1000 Tablet,Is Pyrigesic 1000 Tablet an antibiotic?
1564,Pyrigesic 1000 Tablet,Can I take Pyrigesic 1000 Tablet and ibuprofen together?
1566,Pyrigesic 1000 Tablet,What are the serious side effects of taking an excess of the Pyrigesic 1000 Tablet?
1579,Dolopar 650 Tablet,Is Dolopar 650 Tablet safe for children?
1613,Paracip 650 Tablet,Is Paracip 650 Tablet safe for children?
1648,Sumo L 650 Tablet,Is Sumo L 650 Tablet safe for children?
1683,Pacimol 650 Tablet,Is Pacimol 650 Tablet safe for children?
1700,Pyrigesic 650 Tablet,Is Pyrigesic 650 Tablet safe for children?
1807,Fevastin Injection,Is Fevastin Injection safe for children?
1907,Pyrigesic Tablet,What if I vomit after taking Pyrigesic Tablet?
1909,Pyrigesic Tablet,How often can I take the Pyrigesic Tablet?
1911,Pyrigesic Tablet,Is Pyrigesic Tablet safe for children?
1912,Pyrigesic Tablet,Is Pyrigesic Tablet an antibiotic?
1913,Pyrigesic Tablet,Can I take Pyrigesic Tablet and ibuprofen together?
1915,Pyrigesic Tablet,What are the serious side effects of taking an excess of the Pyrigesic Tablet?
1928,P 500 Tablet,Is P 500 Tablet safe for children?
