,Product,Query
681,Rantac-Dom Tablet,Can the use of Rantac-Dom Tablet cause dryness in mouth?
702,Rantac RD 30mg/20mg Capsule,Can the use of Rantac RD 30mg/20mg Capsule cause dry mouth?
1019,Ganaton Total Capsule SR,Can the use of Ganaton Total Capsule SR cause dryness in mouth?
1033,Pantocid IT Capsule SR,Can the use of Pantocid IT Capsule SR cause dryness in mouth?
1047,Pan-D Capsule PR,Can the use of Pan-D Capsule PR cause dry mouth?
1061,Pantocid DSR Capsule,Can the use of Pantocid DSR Capsule cause dry mouth?
1111,Pantop-D SR Capsule,Can the use of Pantop-D SR Capsule cause dry mouth?
1146,Pantop-D Capsule,Can the use of Pantop-D Capsule cause dry mouth?
1160,Pantosec D SR Capsule,Can the use of Pantosec D SR Capsule cause dry mouth?
1186,Pantakind-DSR Capsule,Can the use of Pantakind-DSR Capsule cause dry mouth?
1200,Pantodac DSR Capsule,Can the use of Pantodac DSR Capsule cause dry mouth?
1248,Pantosec-D Tablet,Can the use of Pantosec-D Tablet cause dry mouth?
1283,Dompan Tablet,Can the use of Dompan Tablet cause dry mouth?
1318,Pantafol DSR 30mg/40mg Capsule PR,Can the use of Pantafol DSR 30mg/40mg Capsule PR cause dry mouth?
1395,Pantocid D Capsule,Can the use of Pantocid D Capsule cause dry mouth?
2087,Rantac-Dom Tablet,Can the use of Rantac-Dom Tablet cause dryness in mouth?
2108,Rantac RD 30mg/20mg Capsule,Can the use of Rantac RD 30mg/20mg Capsule cause dry mouth?
2425,Ganaton Total Capsule SR,Can the use of Ganaton Total Capsule SR cause dryness in mouth?
2439,Pantocid IT Capsule SR,Can the use of Pantocid IT Capsule SR cause dryness in mouth?
2453,Pan-D Capsule PR,Can the use of Pan-D Capsule PR cause dry mouth?
2467,Pantocid DSR Capsule,Can the use of Pantocid DSR Capsule cause dry mouth?
2517,Pantop-D SR Capsule,Can the use of Pantop-D SR Capsule cause dry mouth?
2552,Pantop-D Capsule,Can the use of Pantop-D Capsule cause dry mouth?
2566,Pantosec D SR Capsule,Can the use of Pantosec D SR Capsule cause dry mouth?
2592,Pantakind-DSR Capsule,Can the use of Pantakind-DSR Capsule cause dry mouth?
2606,Pantodac DSR Capsule,Can the use of Pantodac DSR Capsule cause dry mouth?
2654,Pantosec-D Tablet,Can the use of Pantosec-D Tablet cause dry mouth?
2689,Dompan Tablet,Can the use of Dompan Tablet cause dry mouth?
2724,Pantafol DSR 30mg/40mg Capsule PR,Can the use of Pantafol DSR 30mg/40mg Capsule PR cause dry mouth?
2801,Pantocid D Capsule,Can the use of Pantocid D Capsule cause dry mouth?
