,Product,Query
16,Dolo 650 Tablet,"Having throat infection , feeling faverish but no temparature q"
17,Crocin Advance Tablet,What if I vomit after taking Crocin Advance Tablet?
19,Crocin Advance Tablet,How often can I take the Crocin Advance Tablet?
22,Crocin Advance Tablet,Is Crocin Advance Tablet an antibiotic?
23,Crocin Advance Tablet,Can I take Crocin Advance Tablet and ibuprofen together?
25,Crocin Advance Tablet,What are the serious side effects of taking an excess of the Crocin Advance Tablet?
30,Crocin Advance Tablet,I am suffering fevar so I want bee whiche type medicine was preffeard ???? I have very unhappy so plz give my question. ans I have waiting ok which type molequal are prefferd?
33,Calpol 650mg Tablet,What if I vomit after taking Calpol 650mg Tablet?
35,Calpol 650mg Tablet,How often can I take the Calpol 650mg Tablet?
38,Calpol 650mg Tablet,Is Calpol 650mg Tablet an antibiotic?
39,Calpol 650mg Tablet,Can I take Calpol 650mg Tablet and ibuprofen together?
41,Calpol 650mg Tablet,What are the serious side effects of taking an excess of the Calpol 650mg Tablet?
49,Calpol 650mg Tablet,Sir tell me what treatment i take for chickinguniya
50,Calpol 500mg Tablet,What if I vomit after taking Calpol 500mg Tablet?
52,Calpol 500mg Tablet,How often can I take the Calpol 500mg Tablet?
55,Calpol 500mg Tablet,Is Calpol 500mg Tablet an antibiotic?
56,Calpol 500mg Tablet,Can I take Calpol 500mg Tablet and ibuprofen together?
58,Calpol 500mg Tablet,What are the serious side effects of taking an excess of the Calpol 500mg Tablet?
63,Calpol 500mg Tablet,Sir tell me what treatment i take for chickinguniya
77,Calpol 250mg Paediatric Oral Suspension Strawberry,My son 2and 1/2 months old got vaccination today penta 2.after 6-7 hours at the point of injection his muscles got hard and feels pain and crying. Can i give him calpol paediatric oral suspension.
81,Calpol 250mg Paediatric Oral Suspension Strawberry,Calpol 250mg how much ml give her one a time.
83,Calpol 250mg Paediatric Oral Suspension Strawberry,Sir tell me what treatment i take for chickinguniya
84,Dolo 500 Tablet,What if I vomit after taking Dolo 500 Tablet?
86,Dolo 500 Tablet,How often can I take the Dolo 500 Tablet?
89,Dolo 500 Tablet,Is Dolo 500 Tablet an antibiotic?
90,Dolo 500 Tablet,Can I take Dolo 500 Tablet and ibuprofen together?
92,Dolo 500 Tablet,What are the serious side effects of taking an excess of the Dolo 500 Tablet?
101,Lanol ER Tablet,What if I vomit after taking Lanol ER Tablet?
103,Lanol ER Tablet,How often can I take the Lanol ER Tablet?
106,Lanol ER Tablet,Is Lanol ER Tablet an antibiotic?
107,Lanol ER Tablet,Can I take Lanol ER Tablet and ibuprofen together?
109,Lanol ER Tablet,What are the serious side effects of taking an excess of the Lanol ER Tablet?
110,Lanol ER Tablet,By mistaken i taken LANOL ER TABLET & CALPOL 650 is there any side effects please let me know
111,Lanol ER Tablet,"Malaria initial stages, want to check the prescriptioon given to my wife in a rural area which don't proper facilities is correct Clavam Lanol Topcid Lumet"
115,Lanol ER Tablet,"My 2 month baby is little feverish today and full day fussy, unable to sleep well. Crying. Only if on lap, is quite. Also from last 4-5 days during evenings he gets very fussy and cries continuously Kindly suggest what to do and if crocin/lanol can be given"
118,Paracip 500 Tablet,What if I vomit after taking Paracip 500 Tablet?
120,Paracip 500 Tablet,How often can I take the Paracip 500 Tablet?
123,Paracip 500 Tablet,Is Paracip 500 Tablet an antibiotic?
124,Paracip 500 Tablet,Can I take Paracip 500 Tablet and ibuprofen together?
126,Paracip 500 Tablet,What are the serious side effects of taking an excess of the Paracip 500 Tablet?
145,P 650 Tablet,Infection near nail of little finger
147,P 650 Tablet,"Throat infection, mild difficulty in swallowing food- looks like laryngal inflammation. Slight heaviness in the head. Thick phlegm"
167,Pyrigesic 1000 Tablet,Sore and swollen throat. No phelgam. Temperature between 99.5 to 102.
180,Dolopar 650 Tablet,"From last four days I am taking indaclav 625, dolopar 650, reflora z . Esofag 40. But I am feeling full of gastritis. Plz suggest"
198,Dolo 250 Oral Suspension,Temp 104 taken nice & dolo tab
230,T-98 Paediatric Drops,Dr.give me dose of paracetamol for new born baby Baby weight is 2.5 kg and age 17 days Fever is right now 98.5
237,T-98 Paediatric Drops,Some times I have severe pain in my lower back when I take my bath or sit on my toe to do something .
251,Sumo L 650 Tablet,Is sumo tablet (numeslide 100 mg + pcm 500mg ) can be taken safely during fever
252,Sumo L 650 Tablet,Left toe nail broke having pain
254,Sumo L 650 Tablet,Every day pain my head so what i do please halp me I'll gived sumo tablet but not effect
270,Calpol Paediatric Drops Peppermint,Sir tell me what treatment i take for chickinguniya
284,Pacimol 650 Tablet,Sir we give 5 ml pacimol for f
305,Pyrigesic 650 Tablet,Sore and swollen throat. No phelgam. Temperature between 99.5 to 102.
306,Pyrigesic 650 Tablet,Gud afternoon sir I m suffering from ill with fever from last two day At night suddenly temperature is going on And morning temperature is going down Headache is also I do maleria test but it result is non-reactive Please suggest madicine and its dosage Dosage of pyrigesic 500mg
320,Sumo L DS Suspension,Left toe nail broke having pain
322,Sumo L DS Suspension,Is sumo tablet (numeslide 100 mg + pcm 500mg ) can be taken safely during fever
334,P 250 Suspension,Infection near nail of little finger
336,P 250 Suspension,"Throat infection, mild difficulty in swallowing food- looks like laryngal inflammation. Slight heaviness in the head. Thick phlegm"
341,Zerodol-SP Tablet,What is Zerodol-SP Tablet?
347,Zerodol-SP Tablet,Can I take Zerodol-SP Tablet with vitamin B-complex?
349,Zerodol-SP Tablet,Can I take a higher dose of Zerodol-SP Tablet than recommended?
350,Zerodol-SP Tablet,What are the instructions for storage and disposal of Zerodol-SP Tablet?
352,Zerodol-SP Tablet,bone and joint porblem so i want
353,Zerodol-SP Tablet,Left leg one bone fucture pain
356,Zerodol-SP Tablet,Undergone hips open 7 yrs back exo grew pain
357,Zerodol-SP Tablet,Sir i meet with an accident on road can anyone plz give me a suggestion to cure it
358,Zerodol-SP Tablet,"I've Right wrist probblem i can't turn or make any movement , as i'd fallen down so i can't lift anything please suggest me good remedy."
373,Calpol 120mg Suspension Strawberry,Sir tell me what treatment i take for chickinguniya
377,Zerodol-P Tablet,What is Zerodol-P Tablet?
383,Zerodol-P Tablet,Can Zerodol-P Tablet be taken with vitamin B-complex?
