,Product,Query
781,Rantac R Tablet,What dietary changes should I make to get relief from acidity?
822,Rantac PP 20mg Tablet,What dietary changes should I make to get relief from acidity?
859,PAN 40 Tablet,What dietary changes should I make to get relief from acidity?
880,Pantocid Tablet,What dietary changes should I make to get relief from acidity?
901,Pantop 40 Tablet,What dietary changes should I make to get relief from acidity?
922,Pantosec Tablet,What dietary changes should I make to get relief from acidity?
943,Pantodac 40 Tablet,What dietary changes should I make to get relief from acidity?
964,Pantakind Tablet,What dietary changes should I make to get relief from acidity?
985,Topp 40 Tablet,What dietary changes should I make to get relief from acidity?
1006,PAN 20 Tablet,What dietary changes should I make to get relief from acidity?
1077,Pantop Injection,What dietary changes should I make to get relief from acidity?
1095,PAN IV Injection,What dietary changes should I make to get relief from acidity?
1133,Pantocid 20 Tablet,What dietary changes should I make to get relief from acidity?
1235,PAN 80mg Tablet,What dietary changes should I make to get relief from acidity?
1270,Nupenta Tablet,What dietary changes should I make to get relief from acidity?
1305,Pantop 20 Tablet,What dietary changes should I make to get relief from acidity?
1340,Pantocid 80 Dual-Release Tablet,What dietary changes should I make to get relief from acidity?
1361,Pantocid 80 Dual-Release Tablet,What dietary changes should I make to get relief from acidity?
1382,Pansec Tablet,What dietary changes should I make to get relief from acidity?
2187,Rantac R Tablet,What dietary changes should I make to get relief from acidity?
2228,Rantac PP 20mg Tablet,What dietary changes should I make to get relief from acidity?
2265,PAN 40 Tablet,What dietary changes should I make to get relief from acidity?
2286,Pantocid Tablet,What dietary changes should I make to get relief from acidity?
2307,Pantop 40 Tablet,What dietary changes should I make to get relief from acidity?
2328,Pantosec Tablet,What dietary changes should I make to get relief from acidity?
2349,Pantodac 40 Tablet,What dietary changes should I make to get relief from acidity?
2370,Pantakind Tablet,What dietary changes should I make to get relief from acidity?
2391,Topp 40 Tablet,What dietary changes should I make to get relief from acidity?
2412,PAN 20 Tablet,What dietary changes should I make to get relief from acidity?
2483,Pantop Injection,What dietary changes should I make to get relief from acidity?
2501,PAN IV Injection,What dietary changes should I make to get relief from acidity?
2539,Pantocid 20 Tablet,What dietary changes should I make to get relief from acidity?
2641,PAN 80mg Tablet,What dietary changes should I make to get relief from acidity?
2676,Nupenta Tablet,What dietary changes should I make to get relief from acidity?
2711,Pantop 20 Tablet,What dietary changes should I make to get relief from acidity?
2746,Pantocid 80 Dual-Release Tablet,What dietary changes should I make to get relief from acidity?
2767,Pantocid 80 Dual-Release Tablet,What dietary changes should I make to get relief from acidity?
2788,Pansec Tablet,What dietary changes should I make to get relief from acidity?
