,Product,Query
661,Rantac 300 Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
676,Rantac Syrup Mint,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
691,Rantac-Dom Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
714,Rantac RD 30mg/20mg Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
726,Rantac Injection 2ml,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
741,Rantac OD 300 Tablet CR,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
756,Rantac Infant Syrup Mint,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
790,Rantac R Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
802,Rantac Injection 2ml,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
831,Rantac PP 20mg Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
845,Maxx Rantac 150mg Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
888,Pantocid Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
929,Pantosec Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
951,Pantodac 40 Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
971,Pantakind Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
992,Topp 40 Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1029,Ganaton Total Capsule SR,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1042,Pantocid IT Capsule SR,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1070,Pantocid DSR Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1141,Pantocid 20 Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1168,Pantosec D SR Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1195,Pantakind-DSR Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1208,Pantodac DSR Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1221,Cintodac  Capsule,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1256,Pantosec-D Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1277,Nupenta Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
1291,Dompan Tablet,Moderate Throat Pain in left side Moderate Ear pain. Acid reflux too often
